mechanism,XH2_fuel,P_atm,T_K,1000/T,phi,diluent,label,IDT_s,IDT_ms
Reduced,0.1,43.4,1089.4736842105262,0.9178743961352658,0.35,N2,FigS2a,0.013366117302289728,13.366117302289728
Reduced,0.1,43.4,1110.5263157894738,0.9004739336492891,0.35,N2,FigS2a,0.009245436789772967,9.245436789772967
Reduced,0.1,43.4,1131.578947368421,0.8837209302325582,0.35,N2,FigS2a,0.00647327560132208,6.47327560132208
Reduced,0.1,43.4,1152.6315789473683,0.8675799086757991,0.35,N2,FigS2a,0.004588245894212978,4.588245894212978
Reduced,0.1,43.4,1173.6842105263158,0.852017937219731,0.35,N2,FigS2a,0.0032926498819532955,3.2926498819532957
Reduced,0.1,43.4,1194.7368421052631,0.8370044052863437,0.35,N2,FigS2a,0.0023922971728061264,2.3922971728061264
Reduced,0.1,43.4,1215.7894736842104,0.8225108225108226,0.35,N2,FigS2a,0.0017593770307169042,1.759377030716904
Reduced,0.1,43.4,1236.842105263158,0.8085106382978723,0.35,N2,FigS2a,0.0013090739550503745,1.3090739550503745
Reduced,0.1,43.4,1257.8947368421054,0.7949790794979078,0.35,N2,FigS2a,0.0009847298635990464,0.9847298635990464
Reduced,0.1,43.4,1278.9473684210527,0.7818930041152263,0.35,N2,FigS2a,0.0007482219818145202,0.7482219818145202
Reduced,0.1,43.4,1300.0,0.7692307692307693,0.35,N2,FigS2a,0.0005737121346801199,0.57371213468012
Reduced,0.25,43.4,900.0,1.1111111111111112,0.35,N2,FigS2a,0.18783555500336285,187.83555500336286
Reduced,0.25,43.4,921.0526315789474,1.0857142857142856,0.35,N2,FigS2a,0.11255155927378742,112.55155927378742
Reduced,0.25,43.4,942.1052631578948,1.0614525139664803,0.35,N2,FigS2a,0.06900132500661672,69.00132500661672
Reduced,0.25,43.4,963.1578947368421,1.0382513661202186,0.35,N2,FigS2a,0.043162627006528814,43.162627006528815
Reduced,0.25,43.4,984.2105263157895,1.0160427807486632,0.35,N2,FigS2a,0.027485635581858518,27.485635581858517
Reduced,0.25,43.4,1005.2631578947369,0.9947643979057591,0.35,N2,FigS2a,0.01778378646215261,17.783786462152612
Reduced,0.25,43.4,1026.3157894736842,0.9743589743589745,0.35,N2,FigS2a,0.011673135070839816,11.673135070839816
Reduced,0.25,43.4,1047.3684210526317,0.9547738693467336,0.35,N2,FigS2a,0.007762857231547187,7.762857231547187
Reduced,0.25,43.4,1068.421052631579,0.9359605911330049,0.35,N2,FigS2a,0.0052248420850416364,5.224842085041637
Reduced,0.25,43.4,1089.4736842105262,0.9178743961352658,0.35,N2,FigS2a,0.003556661150711109,3.556661150711109
Reduced,0.25,43.4,1110.5263157894738,0.9004739336492891,0.35,N2,FigS2a,0.0024479048817440375,2.4479048817440376
Reduced,0.25,43.4,1131.578947368421,0.8837209302325582,0.35,N2,FigS2a,0.0017037732869965108,1.7037732869965108
Reduced,0.25,43.4,1152.6315789473683,0.8675799086757991,0.35,N2,FigS2a,0.001200010424920391,1.2000104249203911
Reduced,0.25,43.4,1173.6842105263158,0.852017937219731,0.35,N2,FigS2a,0.0008562575007149897,0.8562575007149896
Reduced,0.25,43.4,1194.7368421052631,0.8370044052863437,0.35,N2,FigS2a,0.0006197362595030192,0.6197362595030191
Reduced,0.25,43.4,1215.7894736842104,0.8225108225108226,0.35,N2,FigS2a,0.0004554174416395533,0.4554174416395533
Reduced,0.25,43.4,1236.842105263158,0.8085106382978723,0.35,N2,FigS2a,0.0003398599250923666,0.3398599250923666
Reduced,0.25,43.4,1257.8947368421054,0.7949790794979078,0.35,N2,FigS2a,0.0002574032841171322,0.2574032841171322
Reduced,0.25,43.4,1278.9473684210527,0.7818930041152263,0.35,N2,FigS2a,0.00019759648283831834,0.19759648283831835
Reduced,0.25,43.4,1300.0,0.7692307692307693,0.35,N2,FigS2a,0.00015348674162370083,0.15348674162370082
Reduced,0.0,20.0,900.0,1.1111111111111112,1.0,N2,FigS2b,10.029181410462536,10029.181410462535
Reduced,0.0,20.0,926.3157894736842,1.0795454545454546,1.0,N2,FigS2b,7.950192963808781,7950.19296380878
Reduced,0.0,20.0,952.6315789473684,1.0497237569060773,1.0,N2,FigS2b,3.5881103043048994,3588.1103043048993
Reduced,0.0,20.0,978.9473684210526,1.021505376344086,1.0,N2,FigS2b,1.6894709028291015,1689.4709028291015
Reduced,0.0,20.0,1005.2631578947369,0.9947643979057591,1.0,N2,FigS2b,0.8274279957353389,827.4279957353389
Reduced,0.0,20.0,1031.578947368421,0.9693877551020408,1.0,N2,FigS2b,0.42053113877985804,420.53113877985805
Reduced,0.0,20.0,1057.8947368421052,0.945273631840796,1.0,N2,FigS2b,0.22132437607431477,221.32437607431476
Reduced,0.0,20.0,1084.2105263157894,0.9223300970873788,1.0,N2,FigS2b,0.12037780573534061,120.37780573534062
