mechanism,T_K,P_atm,XH2_fuel,reaction,sensitivity_raw,sensitivity_normalized
Full,1270.0,1.0,0.7,N + NO <=> N2 + O,0.043102140916940326,0.15113437634512392
Full,1270.0,1.0,0.7,H + NH3 <=> H2 + NH2,0.03767358923700955,0.1320995730812991
Full,1270.0,1.0,0.7,H + NH2 <=> H2 + NH,0.025341971565978075,0.08885969435626451
Full,1270.0,1.0,0.7,N + O2 <=> NO + O,-0.02439105184960571,-0.08552536675139755
Full,1270.0,1.0,0.7,N + OH <=> H + NO,-0.019498770341739084,-0.06837095402695667
Full,1270.0,1.0,0.7,NH + O <=> H + NO,-0.013205342927583968,-0.04630352983230814
Reduced,1270.0,1.0,0.7,H + O2 <=> O + OH,-0.09156353797207525,-0.32106057641150243
Reduced,1270.0,1.0,0.7,H2O + M <=> H + OH + M,-0.03289020568597044,-0.11532700275355263
Reduced,1270.0,1.0,0.7,N + NO <=> N2 + O,0.03204990590489988,0.11238055553182938
Reduced,1270.0,1.0,0.7,N + OH <=> H + NO,-0.02587226421922761,-0.09071912518091224
Reduced,1270.0,1.0,0.7,H + O2 (+M) <=> HO2 (+M),-0.02427424550283048,-0.0851157941873097
Reduced,1270.0,1.0,0.7,H + NH2 <=> H2 + NH,0.02128839267148978,0.07464612850660475
Reduced,1270.0,1.0,0.7,H + N2O <=> N2 + OH,0.017989252844743862,0.06307794582279204
Reduced,1270.0,1.0,0.7,NH3 + OH <=> H2O + NH2,0.017518945287113938,0.061428848170084475
Reduced,1270.0,1.0,0.7,2 H + O2 <=> H2 + O2,-0.012164294310257699,-0.04265317209653449
Reduced,1270.0,1.0,0.7,H + NH3 <=> H2 + NH2,0.010040829836853131,0.035207405551028796
Optimized,1270.0,1.0,0.7,H + O2 <=> O + OH,-0.07489231126436832,-0.2626041889148157
Optimized,1270.0,1.0,0.7,H2O + M <=> H + OH + M,-0.03597264846640188,-0.12613535373866433
Optimized,1270.0,1.0,0.7,H + O2 (+M) <=> HO2 (+M),-0.025448474935121576,-0.08923314031351233
Optimized,1270.0,1.0,0.7,H + NH2 <=> H2 + NH,0.024850229877844677,0.08713543955643552
Optimized,1270.0,1.0,0.7,H + NH <=> H2 + N,-0.02344145253445517,-0.08219566903291073
Optimized,1270.0,1.0,0.7,NH + NO <=> H + N2O,0.015210478419478151,0.05333438481092466
Optimized,1270.0,1.0,0.7,2 H + O2 <=> H2 + O2,-0.01384261554184243,-0.048538077747303364
Optimized,1270.0,1.0,0.7,NH3 + OH <=> H2O + NH2,0.013607852967870092,0.047714900650953136
Optimized,1270.0,1.0,0.7,N + NO <=> N2 + O,0.011922579122862135,0.041805616190423674
Optimized,1270.0,1.0,0.7,H2 + OH <=> H + H2O,-0.011473262961991203,-0.0402301232726618
Full,1165.0,10.0,0.7,H + O2 <=> O + OH,3219.0251113144004,1.0
Full,1165.0,10.0,0.7,H + O2 (+M) <=> HO2 (+M),-3015.84305482038,-0.9368808724791039
Full,1165.0,10.0,0.7,H + H2O2 <=> H2 + HO2,608.7388783024599,0.18910659508769662
Full,1165.0,10.0,0.7,H2O2 (+M) <=> 2 OH (+M),527.8357981407501,0.16397380569834163
Full,1165.0,10.0,0.7,H + HO2 <=> 2 OH,352.71279194164333,0.10957130800313103
Full,1165.0,10.0,0.7,HO2 + NH3 <=> H2O2 + NH2,295.5903967367048,0.09182606115676077
Full,1165.0,10.0,0.7,H2 + OH <=> H + H2O,289.690797304662,0.08999333254234065
Full,1165.0,10.0,0.7,H + NH3 <=> H2 + NH2,252.7018716632393,0.0785026096177471
Full,1165.0,10.0,0.7,NH3 + O2 <=> HO2 + NH2,-242.32958198906138,-0.07528042609462986
Full,1165.0,10.0,0.7,NH3 + OH <=> H2O + NH2,-239.22055092252413,-0.07431459608118589
Reduced,1165.0,10.0,0.7,H + O2 <=> O + OH,2446.995272875275,0.760166568528604
Reduced,1165.0,10.0,0.7,H + O2 (+M) <=> HO2 (+M),-2239.6356767838924,-0.6957496755498744
Reduced,1165.0,10.0,0.7,H + HO2 <=> 2 OH,230.41400838973416,0.07157881669821797
Reduced,1165.0,10.0,0.7,H2 + OH <=> H + H2O,201.4651418942241,0.06258576274726896
Reduced,1165.0,10.0,0.7,HO2 + NH2 <=> NH3 + O2,-199.94822976993888,-0.06211452935460187
Reduced,1165.0,10.0,0.7,NH3 + OH <=> H2O + NH2,-192.43333481480627,-0.059780004243654816
Reduced,1165.0,10.0,0.7,H + NH3 <=> H2 + NH2,136.80074655285506,0.042497570482448406
Reduced,1165.0,10.0,0.7,H + H2O2 <=> H2 + HO2,107.67947733982545,0.03345095909980569
Reduced,1165.0,10.0,0.7,H2O2 (+M) <=> 2 OH (+M),86.23945472125956,0.026790550473850157
Reduced,1165.0,10.0,0.7,HO2 + NH2 <=> H2NO + OH,69.10702778580824,0.021468309626696352
Optimized,1165.0,10.0,0.7,H + O2 <=> O + OH,3002.4286985270332,0.9327136616530071
Optimized,1165.0,10.0,0.7,H + O2 (+M) <=> HO2 (+M),-2747.1430639398723,-0.8534083981774693
Optimized,1165.0,10.0,0.7,HO2 + NH2 <=> NH3 + O2,-440.299207642013,-0.13678029602640437
Optimized,1165.0,10.0,0.7,HO2 + NH2 <=> H2NO + OH,346.77987678192477,0.10772822975597315
Optimized,1165.0,10.0,0.7,H + NH3 <=> H2 + NH2,212.64528990927712,0.0660589099357629
Optimized,1165.0,10.0,0.7,H2 + OH <=> H + H2O,206.99388509945624,0.06430328374013086
Optimized,1165.0,10.0,0.7,NH3 + OH <=> H2O + NH2,-195.15483146696573,-0.06062544550554302
Optimized,1165.0,10.0,0.7,H + HO2 <=> 2 OH,188.84324715645712,0.05866473252808773
Optimized,1165.0,10.0,0.7,H + H2O2 <=> H2 + HO2,160.5445829761965,0.049873665915778624
Optimized,1165.0,10.0,0.7,NH3 + M <=> H + NH2 + M,-112.84053531031098,-0.0350542575494963
