mechanism,XH2_fuel,P_atm,T_K,X_NH3,X_H2O,X_NO,X_N2O
Reduced,0.0,1.0,1240.0,1.8046791262727324e-07,0.2682518317103576,0.004939400452722526,2.691990658915527e-07
Reduced,0.0,1.0,1250.0,1.7632769251378174e-07,0.26764368342070916,0.004998253601567365,2.705612461883862e-07
Reduced,0.0,1.0,1260.0,1.7238026994223464e-07,0.26703237042805794,0.005057433030930704,2.719917050492129e-07
Reduced,0.0,1.0,1270.0,1.6861615811976847e-07,0.2664179514755289,0.005116928752532379,2.7348744960948553e-07
Reduced,0.0,1.0,1280.0,1.6502639464350918e-07,0.2658004851211767,0.0051767308324966,2.7504562219704693e-07
Reduced,0.0,1.0,1290.0,1.6160250951161848e-07,0.26518002971851823,0.005236829405490396,2.766634933615438e-07
Reduced,0.0,1.0,1300.0,1.5833649522537735e-07,0.2645566433979693,0.005297214687068681,2.7833845527709624e-07
Reduced,0.05,1.0,800.0,0.21061794919990637,1.8611523228354014e-05,1.9493847100729377e-06,9.899491786462761e-13
Reduced,0.05,1.0,810.0,0.2106136781182123,3.9355319877651804e-05,3.451251984432654e-06,3.742585668764061e-12
Reduced,0.05,1.0,820.0,0.21060426062425155,7.727569572970174e-05,5.392734270887428e-06,1.3746354249108545e-11
Reduced,0.05,1.0,830.0,0.21058606247173559,0.00014242532311559245,7.644707754951857e-06,4.62750149332428e-11
Reduced,0.05,1.0,840.0,0.2105536556231254,0.00024990945132692465,1.0070039830577669e-05,1.428166136132635e-10
Reduced,0.05,1.0,850.0,0.2104983205215045,0.0004243754435355584,1.2554386741749569e-05,4.1472782399400497e-10
Reduced,0.05,1.0,860.0,0.21040428966202282,0.0007110989585836669,1.5007430273632843e-05,1.1773983258291058e-09
Reduced,0.05,1.0,870.0,0.21023835178404104,0.0012067214107333948,1.733796692841895e-05,3.449874914299959e-09
Reduced,0.05,1.0,880.0,0.20990250478072814,0.002200893917149629,1.9384849053393513e-05,1.1776752646718879e-08
Reduced,0.05,1.0,890.0,0.20863474209257987,0.006002253467467174,1.9696605987904587e-05,9.452072005684678e-08
Reduced,0.05,1.0,900.0,0.20434536741693532,0.01767356448261789,1.223648922855203e-05,9.613319660441371e-07
Reduced,0.05,1.0,910.0,4.893589296167499e-07,0.28640952653114504,0.003301700499691832,2.8271541925244534e-07
Reduced,0.05,1.0,920.0,4.6985859676106137e-07,0.28593160631553904,0.0033467423125795475,2.79515109191252e-07
Reduced,0.05,1.0,930.0,4.510231958335619e-07,0.28544865655619894,0.0033920274842993516,2.76466262240034e-07
Reduced,0.05,1.0,940.0,4.331885965115922e-07,0.2849606948550621,0.003437773067140555,2.736826825933187e-07
Reduced,0.05,1.0,950.0,4.1629735742758216e-07,0.28446777817117486,0.0034839902895004355,2.71152757666312e-07
Reduced,0.05,1.0,960.0,4.0029556788162934e-07,0.2839699671143006,0.0035306881317318873,2.6886531458073997e-07
Reduced,0.05,1.0,970.0,3.8513262554695956e-07,0.28346732599373053,0.003577873405387009,2.668096130565217e-07
Reduced,0.05,1.0,980.0,3.707610250735234e-07,0.2829599228654277,0.0036255508398309625,2.6497533593233155e-07
Reduced,0.05,1.0,990.0,3.571361624001529e-07,0.2824478295788356,0.0036737231759700413,2.633525793685173e-07
Reduced,0.05,1.0,1000.0,3.4421614997083433e-07,0.281931121822618,0.003722391263347236,2.6193184156753693e-07
Reduced,0.05,1.0,1010.0,3.3196171604209414e-07,0.281409882329358,0.0037715538612768215,2.6070401766162915e-07
Reduced,0.05,1.0,1020.0,3.203355190415667e-07,0.2808841775029001,0.003821209949880033,2.596603390050671e-07
