mechanism,config,distance_cm,T_K,X_NH3,X_H2O,X_NO,X_N2O,X_OH,X_H2,X_O2,X_N2
Reduced,pure_NH3_350K,3.0,2058.973451052265,3.87974729556572e-09,0.3053303624322078,0.0016655680958141312,4.384613913395753e-08,0.001596985164983639,0.004178948390249004,0.0013773961407189657,0.6856290348073556
Reduced,pure_NH3_350K,3.4999999999999996,2059.851450378401,3.839476377324115e-09,0.3054642834629703,0.0016533788781273788,4.262851534980087e-08,0.0015621770439209644,0.004097756044042057,0.0013412769966586401,0.6856689837204656
Reduced,pure_NH3_350K,4.25,2060.621073392177,3.80712516608454e-09,0.3055766086856129,0.0016377804004243718,4.158769142764897e-08,0.001534031746969205,0.00403346457994174,0.00131154849694167,0.6857019549201299
Reduced,pure_NH3_350K,5.0,2060.621073392177,3.8071251659096105e-09,0.30557660867157227,0.0016377804003491188,4.158769142573809e-08,0.001534031746898719,0.00403346457975641,0.0013115484968814065,0.6857019549345714
Optimized,pure_NH3_350K,0.0,350.0,0.20350040666770763,0.019101394976361947,1.279111785171448e-07,8.972954955936635e-06,1.637864419985298e-12,0.004392271938120811,0.15771619619895347,0.6152576892398594
Optimized,pure_NH3_350K,0.007812500000000002,369.44563867510624,0.20079291701172353,0.022884975716194342,1.5574378900805147e-07,1.152638687286164e-05,1.8665246101990697e-12,0.0046465364807444145,0.15639784295795328,0.6152366945055601
Optimized,pure_NH3_350K,0.015625000000000003,391.6956439142816,0.19774990485704116,0.027173869235517355,1.9382356490044519e-07,1.4654196679002329e-05,2.8576255856420034e-12,0.004904845265018713,0.15486718325548768,0.6152521463435038
Optimized,pure_NH3_350K,0.023437500000000003,416.8743445413762,0.19436502598161465,0.03197607270548568,2.446773582415418e-07,1.843579926741204e-05,4.864127237217105e-12,0.005166013653221402,0.15310931093877803,0.6153182068173789
Optimized,pure_NH3_350K,0.03125000000000001,445.0613338108521,0.19063646972436396,0.03729087325672667,3.118016521186633e-07,2.2950523233984032e-05,9.211469324351651e-12,0.005428935580931693,0.1511115393075491,0.6154509173160849
Optimized,pure_NH3_350K,0.03906250000000001,476.29176804540515,0.18656615191727044,0.04311023031400761,3.999467584592042e-07,2.827645426896615e-05,1.9816485444408144e-11,0.005692619942691419,0.14886337055957843,0.6156676220926375
Optimized,pure_NH3_350K,0.04687500000000001,510.5601475486023,0.18215874005849989,0.049420561554109406,5.15506956203326e-07,3.4489706839931795e-05,4.826978611393626e-11,0.005956212327190414,0.1463562950514328,0.6159863386048168
Optimized,pure_NH3_350K,0.05078125,528.8544018806065,0.17982800073296296,0.05275836566464324,5.869735402288043e-07,3.7963086515889595e-05,7.945522931050665e-11,0.006087774823784538,0.1450010546156869,0.6161907462699859
Optimized,pure_NH3_350K,0.05468750000000001,547.9190901713475,0.1774127831049584,0.056216218806245194,6.692045058352649e-07,4.169906455055694e-05,1.320851522101329e-10,0.00621905073002104,0.14357585027507788,0.6164289193477656
Optimized,pure_NH3_350K,0.05859375000000001,567.7443195626785,0.17491413968470274,0.05979142705803617,7.638259302422916e-07,4.570738662311264e-05,2.2082457318939672e-10,0.006349968975395811,0.14208000162148657,0.6167032174652463
Optimized,pure_NH3_350K,0.06250000000000001,588.3189511107461,0.17233313801594005,0.06348125188402043,8.727150219264085e-07,4.999762932476754e-05,3.6931929854305195e-10,0.006480467701681886,0.1405129033923843,0.6170159455946025
Optimized,pure_NH3_350K,0.06640625000000001,609.6308879665918,0.1696708406066013,0.06728294859157294,9.980414124345723e-07,5.4579208850825245e-05,6.153917157165638e-10,0.006610493945638896,0.1388740152940377,0.6173693457937441
Optimized,pure_NH3_350K,0.07031250000000001,631.6673392342452,0.16692828824065037,0.07119379752072727,1.142320958138248e-06,5.946139016093734e-05,1.0189295410745276e-09,0.006740003362102709,0.13716285310672685,0.6177655913642236
Optimized,pure_NH3_350K,0.07421875000000003,654.4150516419861,0.1641064863152201,0.07521112832896805,1.308488230541134e-06,6.465329548083147e-05,1.6738627075338749e-09,0.0068689600480272405,0.13537898120437625,0.6182067831596761
Optimized,pure_NH3_350K,0.07812500000000001,677.8605025225585,0.16120639373326495,0.07933233791173441,1.4999956280378995e-06,7.016391100802356e-05,2.726181855056572e-09,0.006997336534700889,0.13352200655191024,0.6186949477510086
Optimized,pure_NH3_350K,0.08203125000000001,701.9900487820929,0.15822891382965393,0.08355490255607846,1.7209484439150052e-06,7.600209047390949e-05,4.400822864798193e-09,0.007125114023863957,0.1315915742070448,0.6192320371396958
Optimized,pure_NH3_350K,0.08593750000000001,726.7900278635667,0.15517488676496444,0.08787638494705786,1.9762860667782082e-06,8.217655393711087e-05,7.041570935555949e-09,0.0072522829529519175,0.1295873643023257,0.619819929726171
Optimized,pure_NH3_350K,0.08984375000000001,752.246807832037,0.15204508284590984,0.09229443656721673,2.272019720030462e-06,8.869587955686352e-05,1.1170202780690347e-08,0.007378843984169429,0.12750909047511594,0.6204604322454406
